행정구역별,2016년,2017년,2018년,2019년,2020년,2021년,2022년
서울,1138,1180,1412,1199,1175,1250,1357
부산,409,457,563,590,518,408,417
대구,273,287,319,260,276,247,250
인천,417,397,481,353,361,392,374
광주,186,144,185,167,166,181,147
대전,206,221,272,238,207,201,197
세종,55,50,53,43,45,57,172
울산,129,152,163,163,159,144,57
경기,2007,2067,2403,2082,2173,2198,2380
강원,326,347,396,333,370,393,447
충북,210,250,254,283,298,281,351
충남,384,422,491,453,461,495,502
전북,267,346,418,357,335,353,352
전남,376,456,478,442,453,472,497
경북,430,468,526,404,455,441,500
경남,629,635,658,642,581,576,636
제주,121,132,168,146,137,152,166
